rep_id,n,tau,rho,p,fun,time
21,8192,0,0,6,d-a-c,0.0925999999999988
21,8192,0,0,8,d-a-c,0.0689999999999998
21,8192,0,0,10,d-a-c,0.111800000000005
21,8192,0,0,2,brute force,0.344999999999999
21,8192,0,0,10,brute force,0.469000000000023
22,8192,0,0,2,Knight (original),0.00181999999999988
22,8192,0,0,2,Knight (extended),0.00327999999999975
22,8192,0,0,2,d-a-c,0.0120000000000005
22,8192,0,0,4,d-a-c,0.048399999999998
22,8192,0,0,6,d-a-c,0.0930000000000007
22,8192,0,0,8,d-a-c,0.0684000000000026
22,8192,0,0,10,d-a-c,0.110399999999999
22,8192,0,0,2,brute force,0.341999999999985
22,8192,0,0,10,brute force,0.477000000000004
23,8192,0,0,2,Knight (original),0.00177000000000021
23,8192,0,0,2,Knight (extended),0.00328999999999979
23,8192,0,0,2,d-a-c,0.0122000000000014
23,8192,0,0,4,d-a-c,0.0480000000000018
23,8192,0,0,6,d-a-c,0.0918000000000006
23,8192,0,0,8,d-a-c,0.0680000000000007
23,8192,0,0,10,d-a-c,0.110200000000003
23,8192,0,0,2,brute force,0.342999999999989
23,8192,0,0,10,brute force,0.467000000000013
24,8192,0,0,2,Knight (original),0.00179999999999978
24,8192,0,0,2,Knight (extended),0.00329999999999984
24,8192,0,0,2,d-a-c,0.0122000000000014
24,8192,0,0,4,d-a-c,0.0481999999999971
24,8192,0,0,6,d-a-c,0.0920000000000016
24,8192,0,0,8,d-a-c,0.0675999999999988
24,8192,0,0,10,d-a-c,0.1096
24,8192,0,0,2,brute force,0.343999999999994
24,8192,0,0,10,brute force,0.467000000000013
25,8192,0,0,2,Knight (original),0.00175999999999988
25,8192,0,0,2,Knight (extended),0.00329000000000008
25,8192,0,0,2,d-a-c,0.0120000000000005
25,8192,0,0,4,d-a-c,0.048399999999998
25,8192,0,0,6,d-a-c,0.0935999999999979
25,8192,0,0,8,d-a-c,0.0694000000000017
25,8192,0,0,10,d-a-c,0.111399999999998
25,8192,0,0,2,brute force,0.343999999999994
25,8192,0,0,10,brute force,0.472000000000008
26,8192,0,0,2,Knight (original),0.00176999999999993
26,8192,0,0,2,Knight (extended),0.00330999999999989
26,8192,0,0,2,d-a-c,0.0120000000000005
26,8192,0,0,4,d-a-c,0.0482000000000028
26,8192,0,0,6,d-a-c,0.0930000000000007
26,8192,0,0,8,d-a-c,0.0684000000000026
26,8192,0,0,10,d-a-c,0.111399999999998
26,8192,0,0,2,brute force,0.344999999999999
26,8192,0,0,10,brute force,0.472999999999985
27,8192,0,0,2,Knight (original),0.00176999999999993
27,8192,0,0,2,Knight (extended),0.00332999999999998
27,8192,0,0,2,d-a-c,0.0121999999999957
27,8192,0,0,4,d-a-c,0.0484000000000037
27,8192,0,0,6,d-a-c,0.0934000000000026
27,8192,0,0,8,d-a-c,0.0687999999999988
27,8192,0,0,10,d-a-c,0.1108
27,8192,0,0,2,brute force,0.344000000000023
27,8192,0,0,10,brute force,0.469999999999999
28,8192,0,0,2,Knight (original),0.00177000000000021
28,8192,0,0,2,Knight (extended),0.00332999999999998
28,8192,0,0,2,d-a-c,0.0124000000000024
28,8192,0,0,4,d-a-c,0.048599999999999
28,8192,0,0,6,d-a-c,0.0934000000000026
28,8192,0,0,8,d-a-c,0.0689999999999998
28,8192,0,0,10,d-a-c,0.111399999999998
28,8192,0,0,2,brute force,0.343999999999994
28,8192,0,0,10,brute force,0.472000000000008
29,8192,0,0,2,Knight (original),0.00177000000000021
29,8192,0,0,2,Knight (extended),0.00331000000000017
29,8192,0,0,2,d-a-c,0.0121999999999957
29,8192,0,0,4,d-a-c,0.0484000000000037
29,8192,0,0,6,d-a-c,0.0921999999999969
29,8192,0,0,8,d-a-c,0.0682000000000016
29,8192,0,0,10,d-a-c,0.110200000000003
29,8192,0,0,2,brute force,0.341000000000008
29,8192,0,0,10,brute force,0.467999999999989
30,8192,0,0,2,Knight (original),0.00177000000000021
30,8192,0,0,2,Knight (extended),0.00329999999999984
30,8192,0,0,2,d-a-c,0.0122000000000014
30,8192,0,0,4,d-a-c,0.048399999999998
30,8192,0,0,6,d-a-c,0.0923999999999978
30,8192,0,0,8,d-a-c,0.0694000000000017
30,8192,0,0,10,d-a-c,0.111399999999998
30,8192,0,0,2,brute force,0.343999999999994
30,8192,0,0,10,brute force,0.469999999999999
31,8192,0,0,2,Knight (original),0.00175999999999988
31,8192,0,0,2,Knight (extended),0.00327999999999975
31,8192,0,0,2,d-a-c,0.0122000000000014
31,8192,0,0,4,d-a-c,0.0482000000000028
31,8192,0,0,6,d-a-c,0.0920000000000016
31,8192,0,0,8,d-a-c,0.0680000000000007
31,8192,0,0,10,d-a-c,0.110199999999998
31,8192,0,0,2,brute force,0.344999999999999
31,8192,0,0,10,brute force,0.469999999999999
32,8192,0,0,2,Knight (original),0.00175999999999988
32,8192,0,0,2,Knight (extended),0.00329000000000008
32,8192,0,0,2,d-a-c,0.0122000000000014
32,8192,0,0,4,d-a-c,0.048399999999998
32,8192,0,0,6,d-a-c,0.0924000000000035
32,8192,0,0,8,d-a-c,0.0687999999999988
32,8192,0,0,10,d-a-c,0.110399999999999
32,8192,0,0,2,brute force,0.344999999999999
32,8192,0,0,10,brute force,0.469999999999999
33,8192,0,0,2,Knight (original),0.00180000000000007
33,8192,0,0,2,Knight (extended),0.00329000000000008
33,8192,0,0,2,d-a-c,0.0121999999999957
33,8192,0,0,4,d-a-c,0.048399999999998
33,8192,0,0,6,d-a-c,0.0927999999999997
33,8192,0,0,8,d-a-c,0.0687999999999988
33,8192,0,0,10,d-a-c,0.111600000000004
33,8192,0,0,2,brute force,0.34699999999998
33,8192,0,0,10,brute force,0.473000000000013
34,8192,0,0,2,Knight (original),0.00177999999999997
34,8192,0,0,2,Knight (extended),0.00326999999999998
34,8192,0,0,2,d-a-c,0.0120000000000005
34,8192,0,0,4,d-a-c,0.0482000000000028
34,8192,0,0,6,d-a-c,0.0915999999999997
34,8192,0,0,8,d-a-c,0.0673999999999978
34,8192,0,0,10,d-a-c,0.109199999999998
34,8192,0,0,2,brute force,0.343999999999994
34,8192,0,0,10,brute force,0.474000000000018
35,8192,0,0,2,Knight (original),0.00177999999999997
35,8192,0,0,2,Knight (extended),0.00326999999999998
35,8192,0,0,2,d-a-c,0.0120000000000005
35,8192,0,0,4,d-a-c,0.0478000000000009
35,8192,0,0,6,d-a-c,0.0921999999999969
35,8192,0,0,8,d-a-c,0.0684000000000026
35,8192,0,0,10,d-a-c,0.111000000000001
35,8192,0,0,2,brute force,0.340000000000003
35,8192,0,0,10,brute force,0.465000000000003
36,8192,0,0,2,Knight (original),0.00179000000000002
36,8192,0,0,2,Knight (extended),0.00327999999999975
36,8192,0,0,2,d-a-c,0.0122000000000014
